date,instrument,prediction,primary_signal,size,annualized_ewma_vol,raw_weight,capped_weight,weight
2022-01-03,cl1s,0.55,1,0.55,0.40709763247571185,0.1351027262564132,0.1351027262564132,0.1351027262564132
2022-01-03,rb1s,0.55,1,0.55,0.3914218772074261,0.14051335196794293,0.14051335196794293,0.14051335196794293
2022-01-04,cl1s,0.55,1,0.55,0.40150044415189423,0.1369861498314871,0.1369861498314871,0.1369861498314871
2022-01-04,rb1s,0.55,1,0.55,0.3854570924067122,0.1426877364133883,0.1426877364133883,0.1426877364133883
2022-01-05,cl1s,0.55,1,0.55,0.395778029715029,0.1389667840824856,0.1389667840824856,0.1389667840824856
2022-01-05,rb1s,0.55,1,0.55,0.3793387184079239,0.14498915436534868,0.14498915436534868,0.14498915436534868
2022-01-06,cl1s,0.55,1,0.55,0.39284362093657194,0.14000481888664865,0.14000481888664865,0.14000481888664865
2022-01-06,rb1s,0.55,1,0.55,0.3731717840963649,0.14738520526996018,0.14738520526996018,0.14738520526996018
2022-01-07,cl1s,0.55,1,0.55,0.3873394573177407,0.14199431263952703,0.14199431263952703,0.14199431263952703
2022-01-07,rb1s,0.55,1,0.55,0.36724601206963225,0.1497633689472757,0.1497633689472757,0.1497633689472757
2022-01-10,cl1s,0.55,1,0.55,0.3821862495316656,0.14390889276471222,0.14390889276471222,0.14390889276471222
2022-01-10,rb1s,0.55,1,0.55,0.3629036066147095,0.15155539652267183,0.15155539652267183,0.15155539652267183
2022-01-11,cl1s,0.55,1,0.55,0.38980495677108434,0.14109620476760418,0.14109620476760418,0.14109620476760418
2022-01-11,rb1s,0.55,1,0.55,0.3700253695979721,0.1486384570327078,0.1486384570327078,0.1486384570327078
2022-01-12,cl1s,0.55,1,0.55,0.3855259168713733,0.14266226365878842,0.14266226365878842,0.14266226365878842
2022-01-12,rb1s,0.55,1,0.55,0.3653231292978045,0.15055165027661044,0.15055165027661044,0.15055165027661044
2022-01-13,cl1s,0.55,1,0.55,0.3802094442808739,0.14465711156656488,0.14465711156656488,0.14465711156656488
2022-01-13,ng1s,0.55,-1,0.55,0.8824199875663575,-0.062328597238244264,-0.062328597238244264,-0.062328597238244264
2022-01-13,rb1s,0.55,1,0.55,0.3597014127342164,0.15290459823864952,0.15290459823864952,0.15290459823864952
2022-01-14,cl1s,0.55,1,0.55,0.3771504461450957,0.14583039888236177,0.14583039888236177,0.14583039888236177
2022-01-14,ng1s,0.55,-1,0.55,0.8678910999618434,-0.06337200600676521,-0.06337200600676521,-0.06337200600676521
2022-01-14,rb1s,0.55,-1,0.55,0.35528868124922725,-0.15480369317315434,-0.15480369317315434,-0.15480369317315434
2022-01-18,cl1s,0.55,1,0.55,0.37320746086301326,0.14737111598148864,0.14737111598148864,0.14737111598148864
2022-01-18,ng1s,0.55,-1,0.55,0.8536001851012174,-0.0644329757185775,-0.0644329757185775,-0.0644329757185775
2022-01-18,rb1s,0.55,-1,0.55,0.3494550723524706,-0.1573879000517852,-0.1573879000517852,-0.1573879000517852
2022-01-19,cl1s,0.55,1,0.55,0.36759236461850475,0.14962225903979315,0.14962225903979315,0.14962225903979315
2022-01-19,rb1s,0.55,1,0.55,0.34423291642025605,0.15977553968968317,0.15977553968968317,0.15977553968968317
2022-01-20,cl1s,0.55,1,0.55,0.3621483168348649,0.1518714776329592,0.1518714776329592,0.1518714776329592
2022-01-20,rb1s,0.55,1,0.55,0.3385742509164486,0.1624459032283958,0.1624459032283958,0.1624459032283958
2022-01-21,cl1s,0.55,1,0.55,0.35711301824869873,0.15401286760623553,0.15401286760623553,0.15401286760623553
2022-01-21,rb1s,0.55,-1,0.55,0.33465121229429895,-0.16435021891279422,-0.16435021891279422,-0.16435021891279422
2022-01-24,cl1s,0.55,1,0.55,0.3586763348375282,0.1533415914515623,0.1533415914515623,0.1533415914515623
2022-01-24,rb1s,0.55,1,0.55,0.3347507157395378,0.16430136640184007,0.16430136640184007,0.16430136640184007
2022-01-25,cl1s,0.55,1,0.55,0.3594746063196115,0.15300107165594642,0.15300107165594642,0.15300107165594642
2022-01-25,ng1s,0.55,-1,0.55,0.8327532132008831,-0.06604597752147308,-0.06604597752147308,-0.06604597752147308
2022-01-25,rb1s,0.55,1,0.55,0.33545668742575924,0.16395559266402224,0.16395559266402224,0.16395559266402224
2022-01-26,cl1s,0.55,1,0.55,0.35662578012910856,0.15422328688657466,0.15422328688657466,0.15422328688657466
2022-01-26,ng1s,0.55,-1,0.55,0.8253697346748189,-0.06663680250120758,-0.06663680250120758,-0.06663680250120758
2022-01-26,rb1s,0.55,1,0.55,0.3354381159699479,0.16396467002851725,0.16396467002851725,0.16396467002851725
2022-01-27,cl1s,0.55,1,0.55,0.3526873500017025,0.15594548542706313,0.15594548542706313,0.15594548542706313
2022-01-27,ng1s,0.55,-1,0.55,0.829250628985941,-0.06632494215561513,-0.06632494215561513,-0.06632494215561513
