instrument,signal_column,training_end,date,close,primary_signal,vol,tp,sl,timeout_date,timeout_close,touch_date,touch_price,touched_barrier,triple_barrier_label,metalabel,volatility_method,ewma_span,volatility_window,num_days,take_profit_mult,stop_loss_mult,holding_period_days,raw_touch_return,signed_touch_return
rb1s,rb1s,2022-01-01,2020-01-03,5.76461896,1,0.013555387784836986,5.920902250869248,5.608335669130752,2020-01-17,5.40795624,2020-01-08,5.43498613,lower,-1,0,parkinson,100,20,10,2.0,2.0,5,-0.05718206741629972,-0.05718206741629972
rb1s,rb1s,2022-01-01,2020-01-06,5.7830784,1,0.014059104516074174,5.945688207300502,5.620468592699498,2020-01-21,5.39444129,2020-01-08,5.43498613,lower,-1,0,parkinson,100,20,10,2.0,2.0,2,-0.06019151841344561,-0.06019151841344561
rb1s,rb1s,2022-01-01,2020-01-07,5.67693663,-1,0.0136587701346487,5.521856685003725,5.832016574996274,2020-01-22,5.20688021,2020-01-08,5.43498613,lower,-1,1,parkinson,100,20,10,2.0,2.0,1,-0.04261990502437574,0.04261990502437574
rb1s,rb1s,2022-01-01,2020-01-08,5.43498613,1,0.018928873388378637,5.640742458644729,5.229229801355273,2020-01-23,5.14293144,2020-01-22,5.20688021,lower,-1,0,parkinson,100,20,10,2.0,2.0,14,-0.04196991759388369,-0.04196991759388369
rb1s,rb1s,2022-01-01,2020-01-09,5.44784181,1,0.019029478387600086,5.655180985964917,5.2405026340350815,2020-01-24,4.98893775,2020-01-22,5.20688021,lower,-1,0,parkinson,100,20,10,2.0,2.0,13,-0.044230652872059184,-0.044230652872059184
rb1s,rb1s,2022-01-01,2020-01-10,5.47058647,1,0.0188626989030681,5.676966520813616,5.264206419186384,2020-01-27,4.88137104,2020-01-22,5.20688021,lower,-1,0,parkinson,100,20,10,2.0,2.0,12,-0.04820438566251206,-0.04820438566251206
rb1s,rb1s,2022-01-01,2020-01-13,5.46300492,1,0.01885202200489774,5.66898229792941,5.257027542070591,2020-01-28,4.95101149,2020-01-22,5.20688021,lower,-1,0,parkinson,100,20,10,2.0,2.0,9,-0.0468834851424591,-0.0468834851424591
rb1s,rb1s,2022-01-01,2020-01-14,5.45344557,1,0.018700236369818365,5.6574070123778775,5.2494841276221225,2020-01-29,5.03765338,2020-01-22,5.20688021,lower,-1,0,parkinson,100,20,10,2.0,2.0,8,-0.04521276628419724,-0.04521276628419724
rb1s,rb1s,2022-01-01,2020-01-15,5.39543019,1,0.018844044097849063,5.598773638854452,5.192086741145547,2020-01-30,4.92223985,2020-01-23,5.14293144,lower,-1,0,parkinson,100,20,10,2.0,2.0,8,-0.0467986316397877,-0.0467986316397877
rb1s,rb1s,2022-01-01,2020-01-16,5.4547641,1,0.018825622609453183,5.660142760740388,5.249385439259613,2020-01-31,4.91766254,2020-01-22,5.20688021,lower,-1,0,parkinson,100,20,10,2.0,2.0,6,-0.04544355822830182,-0.04544355822830182
rb1s,rb1s,2022-01-01,2020-01-17,5.40795624,1,0.018810952220668097,5.6114138528842075,5.204498627115792,2020-02-03,4.81826959,2020-01-23,5.14293144,lower,-1,0,parkinson,100,20,10,2.0,2.0,6,-0.0490064616351259,-0.0490064616351259
rb1s,rb1s,2022-01-01,2020-01-21,5.39444129,1,0.019252559065656864,5.602154889123885,5.186727690876113,2020-02-04,4.71854968,2020-01-23,5.14293144,lower,-1,0,parkinson,100,20,10,2.0,2.0,2,-0.046623892351231766,-0.046623892351231766
rb1s,rb1s,2022-01-01,2020-01-22,5.20688021,1,0.02005135337739894,5.41569020016899,4.998070219831009,2020-02-05,4.85946535,2020-01-24,4.98893775,lower,-1,0,parkinson,100,20,10,2.0,2.0,2,-0.04185663030646136,-0.04185663030646136
rb1s,rb1s,2022-01-01,2020-01-23,5.14293144,-1,0.020254425548788417,4.934597196091993,5.351265683908006,2020-02-06,4.89771856,2020-01-27,4.88137104,lower,-1,1,parkinson,100,20,10,2.0,2.0,4,-0.05085823193474259,0.05085823193474259
rb1s,rb1s,2022-01-01,2020-01-24,4.98893775,-1,0.020975674646028765,4.7796450798534185,5.198230420146581,2020-02-07,4.98239874,2020-02-04,4.71854968,lower,-1,1,parkinson,100,20,10,2.0,2.0,11,-0.05419752331044825,0.05419752331044825
rb1s,rb1s,2022-01-01,2020-01-27,4.88137104,-1,0.0218805115988685,4.667757248681799,5.094984831318202,2020-02-10,4.97389803,2020-02-10,4.97389803,timeout,0,0,parkinson,100,20,10,2.0,2.0,14,0.01895512331306004,-0.01895512331306004
rb1s,rb1s,2022-01-01,2020-01-28,4.95101149,-1,0.022392486917137015,4.72928056996716,5.17274241003284,2020-02-11,4.95068454,2020-02-04,4.71854968,lower,-1,1,parkinson,100,20,10,2.0,2.0,7,-0.046952387500922566,0.046952387500922566
rb1s,rb1s,2022-01-01,2020-01-29,5.03765338,-1,0.022394346635604776,4.812023467956508,5.263283292043492,2020-02-12,5.16908748,2020-02-04,4.71854968,lower,-1,1,parkinson,100,20,10,2.0,2.0,6,-0.06334371897575852,0.06334371897575852
