instrument,signal_column,training_end,date,close,primary_signal,vol,tp,sl,timeout_date,timeout_close,touch_date,touch_price,touched_barrier,triple_barrier_label,metalabel,volatility_method,ewma_span,volatility_window,num_days,take_profit_mult,stop_loss_mult,holding_period_days,raw_touch_return,signed_touch_return
ho1s,ho1s,2022-01-01,2020-01-21,1.62481978,1,0.018119660438552627,1.6837021453748875,1.5659374146251124,2020-01-28,1.52215157,2020-01-24,1.54095451,lower,-1,0,garman_klass,100,20,5,2.0,2.0,3,-0.0516151212782503,-0.0516151212782503
ho1s,ho1s,2022-01-01,2020-01-23,1.59142091,1,0.018853171849348864,1.6514275738017543,1.5314142461982458,2020-01-30,1.45634126,2020-01-27,1.49261675,lower,-1,0,garman_klass,100,20,5,2.0,2.0,4,-0.062085498172824716,-0.062085498172824716
ho1s,ho1s,2022-01-01,2020-01-31,1.444279,1,0.021679150834211704,1.5069004845753688,1.3816575154246313,2020-02-07,1.45749427,2020-02-07,1.45749427,timeout,0,0,garman_klass,100,20,5,2.0,2.0,7,0.009150081113136643,0.009150081113136643
ho1s,ho1s,2022-01-01,2020-02-03,1.39948896,1,0.021328808339931775,1.4591878236033808,1.3397900963966192,2020-02-10,1.43017679,2020-02-05,1.45935683,upper,1,1,garman_klass,100,20,5,2.0,2.0,2,0.04277837961651376,0.04277837961651376
ho1s,ho1s,2022-01-01,2020-02-04,1.40481055,1,0.02107639450179215,1.4640272327041592,1.345593867295841,2020-02-11,1.44277121,2020-02-06,1.47709546,upper,1,1,garman_klass,100,20,5,2.0,2.0,2,0.051455272741224745,0.051455272741224745
ho1s,ho1s,2022-01-01,2020-03-09,1.03433707,1,0.030360335718914454,1.0971427113834369,0.9715314286165635,2020-03-16,0.93089447,2020-03-10,1.11171889,upper,1,1,garman_klass,100,20,5,2.0,2.0,1,0.07481296208401367,0.07481296208401367
ho1s,ho1s,2022-01-01,2020-04-15,0.80619064,-1,0.05736423465012959,0.7136976219086036,0.8986836580913963,2020-04-22,0.64500545,2020-04-21,0.64130004,lower,-1,1,garman_klass,100,20,5,2.0,2.0,6,-0.20453053138895283,0.20453053138895283
ho1s,ho1s,2022-01-01,2020-04-16,0.83486343,-1,0.056205021434420285,0.7410163960440727,0.9287104639559273,2020-04-23,0.65134598,2020-04-21,0.64130004,lower,-1,1,garman_klass,100,20,5,2.0,2.0,5,-0.23185036383735247,0.23185036383735247
ho1s,ho1s,2022-01-01,2020-04-21,0.64130004,1,0.05786124450916131,0.7155128768363498,0.5670872031636501,2020-04-28,0.5853056,2020-04-28,0.5853056,timeout,0,0,garman_klass,100,20,5,2.0,2.0,7,-0.08731395058076086,-0.08731395058076086
ho1s,ho1s,2022-01-01,2020-05-18,0.82871631,-1,0.06565984387620744,0.7198895429354666,0.9375430770645335,2020-05-26,0.80862576,2020-05-26,0.80862576,timeout,0,0,garman_klass,100,20,5,2.0,2.0,8,-0.024242976465613464,0.024242976465613464
ho1s,ho1s,2022-01-01,2020-05-20,0.81570586,-1,0.05459510465402112,0.7266387664128034,0.9047729535871967,2020-05-28,0.76708919,2020-05-28,0.76708919,timeout,0,0,garman_klass,100,20,5,2.0,2.0,8,-0.059600736471355,0.059600736471355
ho1s,ho1s,2022-01-01,2020-07-01,0.93442002,-1,0.02984311369467438,0.8786480142091202,0.9901920257908798,2020-07-09,0.95334834,2020-07-09,0.95334834,timeout,0,0,garman_klass,100,20,5,2.0,2.0,8,0.02025675776938085,-0.02025675776938085
ho1s,ho1s,2022-01-01,2020-07-10,0.96682405,-1,0.02648508730478874,0.9156112112547612,1.018036888745239,2020-07-17,0.94960941,2020-07-17,0.94960941,timeout,0,0,garman_klass,100,20,5,2.0,2.0,7,-0.017805349380789703,0.017805349380789703
ho1s,ho1s,2022-01-01,2020-09-08,0.81993471,1,0.020643026592039038,0.8537865780445315,0.7860828419554683,2020-09-15,0.83706745,2020-09-15,0.83706745,timeout,0,0,garman_klass,100,20,5,2.0,2.0,7,0.020895249086357204,0.020895249086357204
ho1s,ho1s,2022-01-01,2020-09-21,0.84315909,1,0.022885852833452177,0.8817519196978548,0.8045662603021451,2020-09-28,0.86247691,2020-09-28,0.86247691,timeout,0,0,garman_klass,100,20,5,2.0,2.0,7,0.022911239680758255,0.022911239680758255
ho1s,ho1s,2022-01-01,2020-09-22,0.83463079,1,0.02296302830777062,0.8729620909146139,0.7962994890853861,2020-09-29,0.8396732,2020-09-29,0.8396732,timeout,0,0,garman_klass,100,20,5,2.0,2.0,7,0.006041485720889916,0.006041485720889916
ho1s,ho1s,2022-01-01,2020-09-23,0.84125365,1,0.023422391739694983,0.8806619950854965,0.8018453049145035,2020-09-30,0.86714301,2020-09-30,0.86714301,timeout,0,0,garman_klass,100,20,5,2.0,2.0,7,0.030774737203220548,0.030774737203220548
