instrument,signal_column,training_end,date,close,primary_signal,vol,tp,sl,timeout_date,timeout_close,touch_date,touch_price,touched_barrier,triple_barrier_label,metalabel,volatility_method,ewma_span,volatility_window,num_days,take_profit_mult,stop_loss_mult,holding_period_days,raw_touch_return,signed_touch_return
ho1s,ho1s,2022-01-01,2020-01-21,1.62481978,1,0.01713012814544413,1.6804865220893046,1.5691530379106953,2020-02-04,1.40481055,2020-01-24,1.54095451,lower,-1,0,parkinson,100,20,10,2.0,2.0,3,-0.0516151212782503,-0.0516151212782503
ho1s,ho1s,2022-01-01,2020-01-23,1.59142091,1,0.017781527546889928,1.6480166994997232,1.5348251205002768,2020-02-06,1.47709546,2020-01-27,1.49261675,lower,-1,0,parkinson,100,20,10,2.0,2.0,4,-0.062085498172824716,-0.062085498172824716
ho1s,ho1s,2022-01-01,2020-01-31,1.444279,1,0.021275777535035154,1.5057353174050463,1.382822682594954,2020-02-14,1.5061868,2020-02-14,1.5061868,upper,1,1,parkinson,100,20,10,2.0,2.0,14,0.042864155748300714,0.042864155748300714
ho1s,ho1s,2022-01-01,2020-02-03,1.39948896,1,0.02113606553709888,1.4586483407540127,1.3403295792459873,2020-02-18,1.48330398,2020-02-05,1.45935683,upper,1,1,parkinson,100,20,10,2.0,2.0,2,0.04277837961651376,0.04277837961651376
ho1s,ho1s,2022-01-01,2020-02-04,1.40481055,1,0.0208422382110369,1.4633693422489558,1.3462517577510444,2020-02-19,1.51381441,2020-02-06,1.47709546,upper,1,1,parkinson,100,20,10,2.0,2.0,2,0.051455272741224745,0.051455272741224745
ho1s,ho1s,2022-01-01,2020-03-09,1.03433707,1,0.03043280127783359,1.0972926190112133,0.9713815209887867,2020-03-23,0.90376635,2020-03-10,1.11171889,upper,1,1,parkinson,100,20,10,2.0,2.0,1,0.07481296208401367,0.07481296208401367
ho1s,ho1s,2022-01-01,2020-04-15,0.80619064,-1,0.0536336007930057,0.7197128261023644,0.8926684538976355,2020-04-29,0.63981774,2020-04-21,0.64130004,lower,-1,1,parkinson,100,20,10,2.0,2.0,6,-0.20453053138895283,0.20453053138895283
ho1s,ho1s,2022-01-01,2020-04-16,0.83486343,-1,0.05180099935457206,0.7483699100028284,0.9213569499971715,2020-04-30,0.68601307,2020-04-21,0.64130004,lower,-1,1,parkinson,100,20,10,2.0,2.0,5,-0.23185036383735247,0.23185036383735247
ho1s,ho1s,2022-01-01,2020-04-21,0.64130004,1,0.05905901619385895,0.7170491388949647,0.5655509411050352,2020-05-05,0.73780784,2020-05-05,0.73780784,upper,1,1,parkinson,100,20,10,2.0,2.0,14,0.15048774985262758,0.15048774985262758
ho1s,ho1s,2022-01-01,2020-05-18,0.82871631,-1,0.06798981581956111,0.7160277714328674,0.9414048485671326,2020-06-02,0.85913045,2020-06-02,0.85913045,timeout,0,0,parkinson,100,20,10,2.0,2.0,15,0.036700303388502054,-0.036700303388502054
ho1s,ho1s,2022-01-01,2020-05-20,0.81570586,-1,0.05513831282009902,0.7257525702442642,0.9056591497557359,2020-06-04,0.84497026,2020-06-04,0.84497026,timeout,0,0,parkinson,100,20,10,2.0,2.0,15,0.03587616742142807,-0.03587616742142807
ho1s,ho1s,2022-01-01,2020-07-01,0.93442002,-1,0.030023657758552317,0.8783106062335608,0.9905294337664392,2020-07-16,0.95646411,2020-07-16,0.95646411,timeout,0,0,parkinson,100,20,10,2.0,2.0,15,0.023591200453945804,-0.023591200453945804
ho1s,ho1s,2022-01-01,2020-07-10,0.96682405,-1,0.024742134497552748,0.9189814686388628,1.0146666313611372,2020-07-24,0.97849834,2020-07-24,0.97849834,timeout,0,0,parkinson,100,20,10,2.0,2.0,14,0.012074885807815683,-0.012074885807815683
ho1s,ho1s,2022-01-01,2020-09-08,0.81993471,1,0.020720692386079858,0.8539139398051592,0.7859554801948407,2020-09-22,0.83463079,2020-09-17,0.88313548,upper,1,1,parkinson,100,20,10,2.0,2.0,9,0.07708024703576699,0.07708024703576699
ho1s,ho1s,2022-01-01,2020-09-21,0.84315909,1,0.023179812107807233,0.8822476285663795,0.8040705514336205,2020-10-05,0.85291892,2020-10-05,0.85291892,timeout,0,0,parkinson,100,20,10,2.0,2.0,14,0.011575312554597428,0.011575312554597428
ho1s,ho1s,2022-01-01,2020-09-22,0.83463079,1,0.023169122958676975,0.8733061167972154,0.7959554632027845,2020-10-06,0.89453757,2020-10-06,0.89453757,upper,1,1,parkinson,100,20,10,2.0,2.0,14,0.07177638390263552,0.07177638390263552
ho1s,ho1s,2022-01-01,2020-09-23,0.84125365,1,0.02349658468343936,0.880786825254955,0.801720474745045,2020-10-07,0.87361535,2020-10-06,0.89453757,upper,1,1,parkinson,100,20,10,2.0,2.0,13,0.06333870884245196,0.06333870884245196
ho1s,ho1s,2022-01-01,2020-09-24,0.84772599,1,0.023425292750575158,0.8874424489760423,0.8080095310239578,2020-10-08,0.89732218,2020-10-06,0.89453757,upper,1,1,parkinson,100,20,10,2.0,2.0,12,0.05522017792565248,0.05522017792565248
ho1s,ho1s,2022-01-01,2020-09-25,0.85291892,1,0.023020754752884655,0.8921885945628305,0.8136492454371695,2020-10-09,0.89807478,2020-10-06,0.89453757,upper,1,1,parkinson,100,20,10,2.0,2.0,11,0.04879555257139789,0.04879555257139789
