date,instrument,prediction,primary_signal,size,annualized_ewma_vol,raw_weight,capped_weight,weight
2022-01-03,cl1s,0.9576887296513034,1,0.9576887296513034,0.40709763247571185,0.23524792414714935,0.23524792414714935,0.23524792414714935
2022-01-03,rb1s,0.630837109352178,1,0.630837109352178,0.3914218772074261,0.16116552141971324,0.16116552141971324,0.16116552141971324
2022-01-04,cl1s,0.951089359022728,1,0.951089359022728,0.40150044415189423,0.23688376261494626,0.23688376261494626,0.23688376261494626
2022-01-04,rb1s,0.5820214761940701,1,0.5820214761940701,0.3854570924067122,0.15099513996747382,0.15099513996747382,0.15099513996747382
2022-01-05,cl1s,0.94580059894838,1,0.94580059894838,0.395778029715029,0.23897248658026377,0.23897248658026377,0.23897248658026377
2022-01-05,rb1s,0.7088794234156084,1,0.7088794234156084,0.3793387184079239,0.1868724148145909,0.1868724148145909,0.1868724148145909
2022-01-06,cl1s,0.92401336499278,1,0.92401336499278,0.39284362093657194,0.23521149784483078,0.23521149784483078,0.23521149784483078
2022-01-06,rb1s,0.563070539039676,1,0.563070539039676,0.3731717840963649,0.15088775814150865,0.15088775814150865,0.15088775814150865
2022-01-07,cl1s,0.9523946335310872,1,0.9523946335310872,0.3873394573177407,0.2458811297269472,0.2458811297269472,0.2458811297269472
2022-01-07,rb1s,0.5923526964775893,1,0.5923526964775893,0.36724601206963225,0.16129588259906696,0.16129588259906696,0.16129588259906696
2022-01-10,cl1s,0.9413703985178788,1,0.9413703985178788,0.3821862495316656,0.2463119486039706,0.2463119486039706,0.2463119486039706
2022-01-10,rb1s,0.5623764751446039,1,0.5623764751446039,0.3629036066147095,0.15496579942829625,0.15496579942829625,0.15496579942829625
2022-01-11,cl1s,0.8593669176141149,1,0.8593669176141149,0.38980495677108434,0.22046074650579267,0.22046074650579267,0.22046074650579267
2022-01-11,rb1s,0.7170847693219963,1,0.7170847693219963,0.3700253695979721,0.19379340667941225,0.19379340667941225,0.19379340667941225
2022-01-12,cl1s,0.9164597601570466,1,0.9164597601570466,0.3855259168713733,0.23771677079308107,0.23771677079308107,0.23771677079308107
2022-01-12,rb1s,0.5459293492837096,1,0.5459293492837096,0.3653231292978045,0.14943738994381556,0.14943738994381556,0.14943738994381556
2022-01-13,cl1s,0.9374343597170958,1,0.9374343597170958,0.3802094442808739,0.24655735774532225,0.24655735774532225,0.24655735774532225
2022-01-13,ng1s,0.145545971776968,-1,0.0,0.8824199875663575,-0.0,-0.0,-0.0
2022-01-13,rb1s,0.5750839369274667,1,0.5750839369274667,0.3597014127342164,0.1598781424170821,0.1598781424170821,0.1598781424170821
2022-01-14,cl1s,0.8788668782052659,1,0.8788668782052659,0.3771504461450957,0.2330281952966727,0.2330281952966727,0.2330281952966727
2022-01-14,ng1s,0.1171985490780237,-1,0.0,0.8678910999618434,-0.0,-0.0,-0.0
2022-01-14,rb1s,0.4863419735427213,-1,0.0,0.35528868124922725,-0.0,-0.0,-0.0
2022-01-18,cl1s,0.904516852607329,1,0.904516852607329,0.37320746086301326,0.24236301453237405,0.24236301453237405,0.24236301453237405
2022-01-18,ng1s,0.0130025988600714,-1,0.0,0.8536001851012174,-0.0,-0.0,-0.0
2022-01-18,rb1s,0.4370327617689786,-1,0.0,0.3494550723524706,-0.0,-0.0,-0.0
2022-01-19,cl1s,0.9109273082825484,1,0.9109273082825484,0.36759236461850475,0.24780909397504172,0.24780909397504172,0.24780909397504172
2022-01-19,rb1s,0.6767374071828844,1,0.6767374071828844,0.34423291642025605,0.19659288083789495,0.19659288083789495,0.19659288083789495
2022-01-20,cl1s,0.9126580400619926,1,0.9126580400619926,0.3621483168348649,0.25201222748693686,0.25,0.25
2022-01-20,rb1s,0.6346593135385084,1,0.6346593135385084,0.3385742509164486,0.18745055532741206,0.18745055532741206,0.18745055532741206
2022-01-21,cl1s,0.9166670798037102,1,0.9166670798037102,0.35711301824869873,0.25668822836509697,0.25,0.25
2022-01-21,rb1s,0.3069661140244216,-1,0.0,0.33465121229429895,-0.0,-0.0,-0.0
2022-01-24,cl1s,0.9310500400128988,1,0.9310500400128988,0.3586763348375282,0.25957944519385207,0.25,0.25
