date,fixed_gross,neural_gross,fixed_net,neural_net,fixed_pnl,neural_pnl
2022-01-03,0.2756160782243561,0.4956409449088725,0.2756160782243561,-0.4956409449088725,0.0014244659634397746,-0.0025658984957497295
2022-01-04,0.27967388624487544,0.49906508051342,0.27967388624487544,-0.49906508051342,0.0012602911119314777,-0.002258699738124247
2022-01-05,0.2839559384478342,0.5,0.2839559384478342,-0.5,0.001822833607605415,-0.0032504281483363706
2022-01-06,0.2873900241566087,0.5,0.2873900241566087,-0.5,-0.0006660415012020405,0.0011738769823375905
2022-01-07,0.2917576815868027,0.5,0.2917576815868027,-0.5,-0.0013683524672367948,0.0023392551949826396
2022-01-10,0.295464289287384,0.5,0.295464289287384,-0.5,0.005480992256656558,-0.009282281407979265
2022-01-11,0.28973466180031193,0.5,0.28973466180031193,-0.5,0.002286385218748837,-0.003956441172843411
2022-01-12,0.2932139139353988,0.5,0.2932139139353988,-0.5,-0.0006597942426387641,0.0011368451333793883
2022-01-13,0.3598903070434585,0.6133247221668028,0.2352331125669701,-0.6133247221668028,0.0017775709564025138,-0.002864309879540927
2022-01-14,0.3640060980622812,0.6152218059620835,-0.07234530029755777,-0.11522180596208359,0.0005157168670709306,-0.0012788902641424516
2022-01-18,0.36919199175185136,0.6171500843715221,-0.07444975978887411,-0.1171500843715221,0.0012816695202865613,0.002208133009102109
2022-01-19,0.3093977987294762,0.5,0.3093977987294762,-0.5,-4.890647735276307e-05,9.966881144947426e-05
2022-01-20,0.31431738086135497,0.5,0.31431738086135497,-0.5,-0.001017085007155563,0.0016042634083164725
2022-01-21,0.31836308651902967,0.5,-0.01033735130655869,0.0,-0.00016383234654649402,0.0004182043610194419
2022-01-24,0.3176429578534023,0.5,0.3176429578534023,-0.5,0.0041765749488283325,-0.006584249004320142
2022-01-25,0.3830026418414416,0.6200723263195457,0.2509106867984956,-0.6200723263195457,0.0015846491263665039,-0.005213981549298054
2022-01-26,0.38482475941629934,0.5814456026675683,0.2515511544138843,-0.5814456026675683,-0.0018425084076830033,-0.0008828031565095307
2022-01-27,0.3888413552071037,0.6204796970345996,0.25619147089587346,-0.3795203029654004,-0.0013393878168516179,0.0025773882397577635
2022-01-28,0.3928496123599974,0.6181453312579359,0.2628897478880096,-0.3818546687420641,7.9338145639372e-05,0.000176567698565318
2022-01-31,0.3979492972204588,0.6187666781880463,0.2673059512132884,-0.3812333218119537,0.001047055895635196,-0.0017249766416788815
2022-02-01,0.40400690490846924,0.6199923246577734,0.27201479686680047,-0.3800076753422265,-0.0027159045213427956,0.005228389694791846
2022-02-02,0.4025012838160789,0.6079836730726943,0.2837192434361151,-0.3920163269273057,0.004273963757082219,-0.007049955249476824
2022-02-03,0.23599710596076,0.3480608834980071,0.12328765274125841,-0.3480608834980071,0.0030383851714127896,0.0014763580942609008
2022-02-04,0.23805989015622048,0.3518683900235051,0.1260044742233225,-0.3518683900235051,0.0023144195009802398,0.003470567839838446
2022-02-07,0.1850383799333417,0.25,0.1850383799333417,-0.25,-0.004148255536192843,0.005604588001806993
2022-02-08,0.2381714861211024,0.3525291938289939,-0.2381714861211024,0.1474708061710061,0.0006064933352599212,0.004231820882217937
2022-02-09,0.2409344699407625,0.3526914479416918,0.12797387720269832,-0.3526914479416918,0.0007693177886214643,7.50892383980233e-05
2022-02-10,0.417202791409476,0.6043373185498013,0.3024317409904874,-0.6043373185498013,0.003861003625948411,-0.005115999932764304
2022-02-11,0.244236287030829,0.3560797805343154,0.12754852827118862,-0.3560797805343154,-0.0004953996118200984,-0.005280672075815097
2022-02-14,0.2463398116475062,0.35456856604599807,-0.2463398116475062,0.1454314339540019,0.0029633233676080225,-0.006343962750399079
2022-02-15,0.3944693603682503,0.5826897843587632,0.27644577808850246,-0.5826897843587632,-0.000740522710473992,-0.00437716509167442
2022-02-16,0.397670617905335,0.6048502722028556,0.282334830047945,-0.3951497277971444,-0.0007441361985560561,0.0008000347512941173
2022-02-17,0.3984696066358161,0.6022810193065182,0.2828009719832853,-0.6022810193065182,0.000671593656774429,-0.00022333252116041067
2022-02-18,0.405027785653598,0.604583092643754,0.28755820023195877,-0.604583092643754,0.001571217580643041,-0.003495970921595376
2022-02-22,0.409241824503651,0.5835076260139023,0.2899347452551434,-0.4164923739860978,-8.285414452676842e-06,1.7805076202928448e-05
2022-02-23,0.4157708649837776,0.6099063767060962,0.294842602744566,-0.3900936232939038,0.0010992048172591801,-0.0014330728010123282
2022-02-24,0.4217367038397189,0.6117643324129042,0.2987941052461907,-0.3882356675870958,-0.0009113394494506014,0.0009342443742823943
2022-02-25,0.42281281557386907,0.5391636425712252,0.2989490635828755,-0.46083635742877493,0.004178667792345417,-0.005649540323040902
2022-02-28,0.4161287642264905,0.6123428242561986,0.2904260613527183,-0.6123428242561986,0.006936893264101009,-0.01258833241323515
2022-03-01,0.23649201669038222,0.3602240542367323,0.10955727604627381,-0.13977594576326768,0.004839302211592801,-0.006609477057050964
2022-03-02,0.2152333781587809,0.3664490527125824,-0.2152333781587809,0.3664490527125824,0.0008151221837660086,-0.0013921547742036936
2022-03-03,0.3452974619021093,0.5954791235924254,-0.0900285626600925,0.1313538522940414,-0.0022058381561095236,0.0031858749805357685
2022-03-04,0.1994014745348785,0.362548135009123,-0.1994014745348785,0.362548135009123,0.0006509115620999096,-0.0011834755581723272
2022-03-07,0.2020218057463359,0.3670738376152893,-0.2020218057463359,0.3670738376152893,-4.821809402360882e-05,9.522078124303687e-05
2022-03-08,0.2020364742878872,0.3672535808239712,-0.2020364742878872,0.132550069014522,0.007262722168975049,-0.013179090252459518
2022-03-09,0.17265510891487568,0.18979895515350148,-0.17265510891487568,-0.036117047419474094,0.0014647369100539887,-0.0029095211955759
2022-03-10,0.1715788741365818,0.2187584516360903,-0.1715788741365818,-0.04686856509354931,-0.0032596863947348623,-0.0023968450394619514
2022-03-11,0.1713016835479196,0.3114327979467484,-0.1713016835479196,0.3114327979467484,0.0027208145339774996,-0.004946731146770424
2022-03-14,0.2617819515852857,0.4315048679559168,-0.2617819515852857,0.0990361427223202,0.004213651428798625,0.00019195574715236718
2022-03-15,0.1681749469916397,0.3027238203209263,0.029134827702475705,0.3027238203209263,-0.0015440460681625005,0.002116754074301735
2022-03-16,0.17032529960218068,0.2959199183505017,0.030186560425147294,0.2959199183505017,0.0020584370721529535,0.009708386398331624
2022-03-17,0.1651607262272212,0.3002576349080216,-0.1651607262272212,0.3002576349080216,0.0005657211891964259,-0.001028702718302839
2022-03-18,0.18247189472883452,0.3236910173180928,-0.18247189472883452,0.3236910173180928,-0.004846608151750216,0.008542624229522441
2022-03-21,0.1807806611290561,0.3286831214699648,-0.1807806611290561,0.3286831214699648,0.0008537765008286673,-0.0015522922938217296
2022-03-22,0.1832219463172338,0.33312882739566707,-0.1832219463172338,0.33312882739566707,-0.0037982689404959255,0.0069058925530771625
2022-03-23,0.18367082971354032,0.3339469630542887,-0.18367082971354032,0.3339469630542887,0.0016884998985853615,-0.0030699998149734727
2022-03-24,0.1853092648224285,0.33692593304903273,-0.1853092648224285,0.33692593304903273,-0.0015912045516168682,0.002893099163305863
2022-03-25,0.1881147594651168,0.3420268352725332,-0.1881147594651168,0.3420268352725332,0.006564910070731143,-0.011936200124468384
2022-03-28,0.1786093784913178,0.2695078539482777,-0.1786093784913178,-0.032934457774426495,0.0009679262559294143,0.0008665184973628542
2022-03-29,0.0965688224649592,0.1595832806191235,-0.0965688224649592,0.1595832806191235,-0.003334781286240826,0.005510840085045829
2022-03-30,0.0969966855296276,0.1762516287990281,-0.0969966855296276,0.1762516287990281,0.003999224276948192,-0.007266947204391143
2022-03-31,0.0960259911488003,0.1586780791823339,0.0960259911488003,0.1586780791823339,7.923684220824359e-05,0.0001309348622353153
2022-04-01,0.097633494562073,0.057543254726503,0.097633494562073,0.057543254726503,0.0013808321023220792,0.0008138351879634387
2022-04-04,0.0991125702646548,0.1748301482627215,0.0991125702646548,-0.1748301482627215,-0.0010289038500837754,0.0018149404477948532
2022-04-05,0.1005185783322274,0.0433444794867219,0.1005185783322274,-0.0433444794867219,-0.0037699627845225923,0.0016256405262653252
2022-04-06,0.0999395460313821,0.1810678545337902,0.0999395460313821,0.1810678545337902,-0.00020997079421112416,-0.0003804195909657811
2022-04-07,0.1015998532748387,0.1724514231472748,0.1015998532748387,0.1724514231472748,0.003068249982975311,0.005207921656189361
2022-04-08,0.1021083691333258,0.0556015011111374,0.1021083691333258,-0.0556015011111374,-0.0041898471239052845,0.002281515134289636
2022-04-11,0.1010954731310372,0.1836523095158191,0.1010954731310372,0.1836523095158191,0.005073120384830259,0.009215944554888491
2022-04-12,0.0994386533403249,0.1787055802917282,0.0994386533403249,-0.1787055802917282,0.004335346164914924,-0.007791241394984367
2022-04-13,0.1827103750491213,0.3194299139772476,0.015002207571278708,-0.04004614570801521,0.00030684823889042803,-0.0007172304216795859
2022-04-14,0.1846731241368999,0.3354569031799028,-0.1846731241368999,0.3354569031799028,-0.0004421014841927252,0.0008020150133702185
2022-04-18,0.1014098425352141,0.1843813843471326,-0.1014098425352141,0.1843813843471326,0.003923586189103725,-0.007133787362908342
2022-04-19,0.1004668124602659,0.1109137293129668,-0.1004668124602659,-0.1109137293129668,-0.0011570668533402602,-0.001277383014606376
2022-04-20,0.1020548272095407,0.1835899110443191,-0.1020548272095407,0.1835899110443191,-0.0016715019873090097,0.0030069219609807495
2022-04-21,0.1035183718725324,0.1882114909159469,-0.1035183718725324,0.1882114909159469,0.0009829174762972387,-0.00178708726108095
2022-04-22,0.1049812996375675,0.1908129874940152,-0.1049812996375675,0.1908129874940152,0.0020894025650414184,-0.0037976777472713075
2022-04-25,0.1058701124764469,0.1734439976150271,0.1058701124764469,-0.1734439976150271,0.0029717003629252513,-0.004868452281794351
2022-04-26,0.1065810682189709,0.1937836677155394,-0.1065810682189709,0.1937836677155394,-0.003299474215043118,0.005999041158137863
2022-04-27,0.19814217171484672,0.3124163877817281,-0.01606308826786569,0.3124163877817281,0.0005113199373787312,0.0037063006461486385
2022-04-28,0.2001750325908188,0.32522616241623303,-0.016961644923135608,0.0695677964827088,0.00023190919095784007,-0.0005447930543817397
2022-04-29,0.2030598369082361,0.3683595932782363,-0.016974817111305898,0.03170340838002231,-0.0008685302266062423,0.0015810717702356171
2022-05-02,0.2060315905759493,0.3735473053804176,-0.016823813931490905,0.03164433900094879,-0.001100090859396421,0.0019863142020424573
2022-05-03,0.2083708746849654,0.28941587583071027,-0.018017521661416402,0.28941587583071027,6.675610354154931e-05,0.006645281013520632
2022-05-04,0.2831492795640411,0.5147465133764637,-0.0955302867161525,0.17376178895101427,-0.001059897703140563,0.0019271846254161722
2022-05-05,0.2872807108367182,0.5223216725927085,-0.096508478157334,0.1754768528503485,0.0015886082017785765,-0.002888346503083101
2022-05-06,0.28523526946676026,0.5186095313384069,-0.0915053812680563,0.1663734697220206,0.002322835614120475,-0.004223338475923135
2022-05-09,0.2074513034728896,0.377173544008528,-0.020503507805118407,0.377173544008528,6.137520609837297e-05,-0.005601204628961676
2022-05-10,0.2074212354268174,0.3771285817395009,0.2074212354268174,-0.0363595153399163,0.005106387381160816,0.000877951874282152
2022-05-11,0.20446423870943192,0.3716835152636218,0.20446423870943192,-0.03903274849822841,0.0018091241983625053,-0.002628345314783642
2022-05-12,0.20679393710606608,0.345558581725975,-0.0206856667147491,0.345558581725975,-0.000579844035788092,0.007379780062755179
2022-05-13,0.20580806730426648,0.37406020047427635,-0.01980532858250171,0.036145973865269104,0.0006336336722262987,-0.0011497731448965008
2022-05-16,0.2081307430661188,0.37841732353720636,-0.0209392421181242,0.03807355861595921,0.00023937398853149416,-0.000435247068416896
2022-05-17,0.2798327252559844,0.5087781249741822,-0.09089189320626219,0.16526663586407359,0.001222352945044457,-0.002222528004542416
2022-05-18,0.2759914999067192,0.48663736885538555,-0.0857057053249288,0.170724320991647,-7.07506405322961e-05,0.0002606948693560524
2022-05-19,0.2786720439426348,0.506110424079785,-0.08648830820082819,0.1578172863749765,0.0007196490051369593,-0.0013077833014479448
2022-05-20,0.20936460373676158,0.380662694372928,-0.013951564976541195,0.025366682921800388,0.0001481748871892042,-0.0002694088631079116
2022-05-23,0.2127385500223971,0.3867973337508494,-0.014083982486729499,0.025607255633014192,-0.00038053508975020877,0.0006918819189107871
2022-05-24,0.2161963171592241,0.39308417167236154,-0.0144125076844253,0.026204547447752108,-0.0002989023814440986,0.0005434587841848251
2022-05-25,0.2939675766597468,0.5344865019162853,0.1455942400813242,-0.26471679904642587,0.0021384536545684383,-0.0038880975412828485
2022-05-26,0.221727662143014,0.40314120380412943,0.221727662143014,-0.40314120380412943,0.002313692331248428,-0.004206713329144739
2022-05-27,0.2238719647941222,0.4070399359885112,-0.014587089648521998,0.026521981179926407,-0.0002474052860801273,0.00044982779287156867
2022-05-31,0.3265203739836769,0.5936734056598281,-0.1139433002895255,0.20716963830792892,-0.003168410057272166,0.005760745559791621
2022-06-01,0.3016468061820058,0.5484487384907473,-0.08549775533898461,0.1554504642434947,-8.25110922395902e-05,0.00015002016786426023
2022-06-02,0.40419880658157087,0.7349044840095023,-0.18472760500131669,0.3358659362805342,-0.00048134383225977153,0.0008751678770986683
2022-06-03,0.3095306553595073,0.562782609683125,-0.08692274314048751,0.15804095110373417,-0.0018855941685187554,0.0034283405322422435
2022-06-06,0.309239160965265,0.5622530199367748,-0.08316654607620139,0.1512119019567998,0.0007122855717695168,-0.0012950646759443956
2022-06-07,0.3136435061494995,0.5702609202717711,-0.08379927888683569,0.1523623252488147,0.001781325601538771,-0.003238773820979231
2022-06-08,0.3152162498264705,0.5731198548267116,-0.08280696718818012,0.1505575227570955,-0.001461092232802794,0.0026565252687537175
2022-06-09,0.24733410925567412,0.4496983804648592,-0.011517041983646295,0.02094007633390521,0.0011663060825181557,-0.002120556513669384
2022-06-10,0.2481496602534431,0.4511812004588752,-0.0090634333426005,0.016478969715410213,0.002238732351804515,-0.00407042245782171
2022-06-13,0.247902158041062,0.450731194326019,0.247902158041062,-0.450731194326019,-0.0016547931736539088,0.0030087148502856344
2022-06-14,0.2502484434010163,0.45499650231041844,0.2502484434010163,-0.45499650231041844,-0.0032629280189489396,0.005932587307609816
2022-06-15,0.2494615930963977,0.4535624987216269,0.2494615930963977,-0.4535624987216269,0.0021732165488353118,-0.00395126467586551
2022-06-16,0.2525780259249362,0.4592293842340168,0.2525780259249362,-0.4592293842340168,-0.0065449180998176084,0.011899744381804916
2022-06-17,0.3042860300462921,0.5460180975147199,0.1770183336402973,-0.1273672870363553,0.0009756701797251581,0.001714728696385073
2022-06-21,0.30890738809160323,0.5504901210427607,0.1797678372794964,-0.1479422606508654,-0.0008970742580323697,-0.0031337639892774667
2022-06-22,0.311615265812621,0.5665142626627946,0.18035831811290481,-0.1432218661589412,0.0003766878896741756,0.003581811772451099
2022-06-23,0.2479682828752491,0.4486329347007028,0.2479682828752491,-0.0210935298070824,0.004038209854893636,-0.0004376083450875327
2022-06-24,0.2469771537665803,0.4490343448615165,0.2469771537665803,-0.02257167503669949,0.0003456963616049436,0.00323499466023127
2022-06-27,0.2498722614647856,0.4530459698564441,0.2498722614647856,-0.024273406167199113,0.003015706850418358,-0.0011854308211418597
