instrument,rows,fixed_mean_abs_weight,neural_mean_abs_weight,fixed_max_abs_weight,neural_max_abs_weight,mean_weight_diff,mean_abs_weight_diff,same_sign_rate,weight_correlation
cl1s,88,0.12157297795460616,0.20647046127541271,0.1722633130482184,0.25,-0.22321685658236684,0.2902403629630317,0.18181818181818182,-0.5544306050814326
ho1s,2,0.09923399345031265,0.18042544259560994,0.0994014681285201,0.1807299420518544,0.2796594360459226,0.2796594360459226,0.0,-1.0
ng1s,56,0.06548335468138278,0.11492446560767812,0.0778744290935981,0.1415898710792693,0.0955927722893164,0.1321190455807848,0.39285714285714285,-0.61118172220826
rb1s,124,0.13142302354283436,0.2113814362268403,0.1894688222714142,0.25,-0.013641434729430876,0.32647883774281117,0.08870967741935484,-0.9006153767287554
