instrument,config_name,model_name,model_family,penalty,C,l1_ratio,mean_auc,median_auc,std_auc,valid_auc_paths,mean_brier,mean_log_loss,mean_accuracy,mean_precision,mean_recall,mean_f1,median_trade_sharpe,mean_trade_sharpe,total_trades,avg_nonzero_coef_count,total_convergence_warnings,total_runtime_warnings,feature_count,label_rows,embargo_observations
cl1s,ewma_10d_tp2_sl2,l2_C0.1,l2_logistic,l2,0.1,,0.6368013472387796,0.6089466089466089,0.1365415449047321,15,0.28070260547173653,0.8614216313378067,0.586719741548402,0.4329396530096332,0.5354210351080515,0.44582852382502863,0.18456177663107257,0.2226020941508019,712,137.93333333333334,0,0,139,323,10
cl1s,ewma_10d_tp2_sl2,l2_C1,l2_logistic,l2,1.0,,0.6351506566584226,0.6329113924050633,0.16264231036610813,15,0.34102910407081105,1.523283802753806,0.5829525787469713,0.4123293601490466,0.5681045755241918,0.4504012760823765,0.1813244103311177,0.16772137919150867,754,137.93333333333334,0,0,139,323,10
cl1s,ewma_10d_tp2_sl2,elastic_C1_l1r0.5,elastic_net_logistic,elasticnet,1.0,0.5,0.6261996319976156,0.6212121212121212,0.16321525202737927,15,0.33394143996497444,1.418127220116651,0.578562362986039,0.40168674802567367,0.5306998446756526,0.43151805495312856,0.18864955731318928,0.1761381083556832,717,68.73333333333333,0,0,139,323,10
cl1s,ewma_10d_tp2_sl2,elastic_C0.1_l1r0.5,elastic_net_logistic,elasticnet,0.1,0.5,0.604683821962856,0.6272727272727273,0.14564350331894552,15,0.2640524162800059,0.7461732798374434,0.5725395177108573,0.43089824032518664,0.4473845048841098,0.39111200012525676,0.30623850819615145,0.31618817414295636,597,24.866666666666667,0,0,139,323,10
cl1s,ewma_10d_tp2_sl2,l1_C1,l1_logistic,l1,1.0,,0.6019599964890153,0.6006993006993008,0.17882978901664123,15,0.3616974055611036,1.608101564054738,0.5630437290873428,0.3866052381112528,0.5221378605132084,0.4148843089092969,0.1627473613288818,0.18767459217096644,726,35.93333333333333,0,0,139,323,10
