model_type,ticker,tb_config_name,model_name,feature_method,importance_group,cluster_importance,group_type,representative_model_features,n_model_features,cluster_id,cluster_n_features,cluster_features,dropped_cluster_features,importance_type
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,"cluster_005: ret_63d (rep, n=33)",0.015536962257174224,correlation_cluster,['ret_63d'],1,5.0,33,"['ret_20d', 'ret_63d', 'price_vs_sma5', 'price_vs_sma10', 'price_vs_sma20', 'price_vs_sma50', 'price_vs_ema5', 'price_vs_ema10', 'price_vs_ema20', 'price_vs_ema50', 'sma5_vs_sma20', 'sma10_vs_sma50', 'sma20_vs_sma50', 'ema5_vs_ema20', 'ema12_vs_ema26', 'ema20_vs_ema50', 'sma20_slope', 'sma50_slope', 'ema20_slope', 'ema50_slope', 'macd_line', 'macd_signal', 'rsi_7d', 'rsi_14d', 'rsi_21d', 'stoch_k_14d', 'williams_r_14d', 'cci_14d', 'cci_20d', 'zscore_20d', 'zscore_63d', 'donchian_pos_20d', 'donchian_pos_52d']","['ret_20d', 'price_vs_sma5', 'price_vs_sma10', 'price_vs_sma20', 'price_vs_sma50', 'price_vs_ema5', 'price_vs_ema10', 'price_vs_ema20', 'price_vs_ema50', 'sma5_vs_sma20', 'sma10_vs_sma50', 'sma20_vs_sma50', 'ema5_vs_ema20', 'ema12_vs_ema26', 'ema20_vs_ema50', 'sma20_slope', 'sma50_slope', 'ema20_slope', 'ema50_slope', 'macd_line', 'macd_signal', 'rsi_7d', 'rsi_14d', 'rsi_21d', 'stoch_k_14d', 'williams_r_14d', 'cci_14d', 'cci_20d', 'zscore_20d', 'zscore_63d', 'donchian_pos_20d', 'donchian_pos_52d']",random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,macd_zscore,0.01490877887933959,single_feature,['macd_zscore'],1,,1,['macd_zscore'],[],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,hmm_prob_calm_positive,0.013940195184882943,single_feature,['hmm_prob_calm_positive'],1,,1,['hmm_prob_calm_positive'],[],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,price_vs_sma100,0.013826541979443583,single_feature,['price_vs_sma100'],1,,1,['price_vs_sma100'],[],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,"cluster_011: signal_x_hmm_prob_high_or_extreme_vol (rep, n=3)",0.012933885317670217,correlation_cluster,['signal_x_hmm_prob_high_or_extreme_vol'],1,11.0,3,"['hmm_prob_high_or_extreme_vol', 'hmm_prob_low_or_normal_vol', 'signal_x_hmm_prob_high_or_extreme_vol']","['hmm_prob_high_or_extreme_vol', 'hmm_prob_low_or_normal_vol']",random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,uo,0.011828671636295474,single_feature,['uo'],1,,1,['uo'],[],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,mfi_14d,0.00970419548637911,single_feature,['mfi_14d'],1,,1,['mfi_14d'],[],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,"cluster_002: open_interest_zscore_20d (rep, n=3)",0.009382276793176719,correlation_cluster,['open_interest_zscore_20d'],1,2.0,3,"['open_interest', 'open_interest_zscore_20d', 'open_interest_zscore_63d']","['open_interest', 'open_interest_zscore_63d']",random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,"cluster_014: signal_rolling_mean_20d (rep, n=2)",0.008540569064563162,correlation_cluster,['signal_rolling_mean_20d'],1,14.0,2,"['signal_rolling_mean_20d', 'signal_abs_rolling_sum_20d']",['signal_abs_rolling_sum_20d'],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,signal_x_hmm_prob_positive_or_strong_upside,0.008117533963616941,single_feature,['signal_x_hmm_prob_positive_or_strong_upside'],1,,1,['signal_x_hmm_prob_positive_or_strong_upside'],[],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,"cluster_012: hmm_prob_downside_or_weak (rep, n=2)",0.007394444844129775,correlation_cluster,['hmm_prob_downside_or_weak'],1,12.0,2,"['hmm_prob_downside_or_weak', 'hmm_prob_positive_or_strong_upside']",['hmm_prob_positive_or_strong_upside'],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,upper_wick_pct,0.006759866861522434,single_feature,['upper_wick_pct'],1,,1,['upper_wick_pct'],[],random_forest_mdi
random_forest,cl1s,parkinson_10d_tp2_sl2,rf_medium_depth,corr_cluster,range_pct,0.006268339529007303,single_feature,['range_pct'],1,,1,['range_pct'],[],random_forest_mdi
