date,instrument,primary_signal,hmm_predicted_regime,hmm_regime_confidence,hmm_regime_prob_0,hmm_regime_prob_1,hmm_regime_prob_2,hmm_regime_prob_3
2020-01-03,cl1s,0,3.0,0.99114039231009,0.0003251000612227,0.0077398733733948,0.0007946342558102,0.99114039231009
2020-01-03,es1s,1,3.0,0.8501335114381865,0.0001791086592335,0.1084369949333875,0.041250384968897,0.8501335114381865
2020-01-03,fesx1s,-1,3.0,0.974204053857032,0.0026156006582335,4.783127729669172e-06,0.0231755623568639,0.974204053857032
2020-01-03,gc1s,0,1.0,0.9953711540422148,0.0016033937687509,0.9953711540422148,1.6780761877448638e-06,0.0030237741097652
2020-01-03,hg1s,1,2.0,0.8290679108404712,0.1700176808890917,0.0003575924492903,0.8290679108404712,0.0005568158240104
2020-01-03,ho1s,0,3.0,0.9220313627799158,0.0080934321141525,0.0397565053107939,0.0301186997951616,0.9220313627799158
2020-01-03,ng1s,0,1.0,0.88533599049604,0.000251123921126,0.88533599049604,0.11161118451172,0.0028017010725098
2020-01-03,nq1s,1,3.0,0.975605844496713,1.9065791155269956e-06,0.0181439868319129,0.006248262093828,0.975605844496713
2020-01-03,pl1s,-1,1.0,0.7901840870588087,0.0009403828792485,0.7901840870588087,0.0010194992447869,0.2078560308192525
2020-01-03,rb1s,1,3.0,0.828684752620492,1.8172443966071395e-06,0.1683164305146502,0.0029969996178438,0.828684752620492
2020-01-03,si1s,1,1.0,0.9815317906593222,0.000260304980358,0.9815317906593222,0.0003421011787439,0.0178658031837003
2020-01-06,cl1s,0,2.0,0.9801473462136224,0.0123277807484461,0.002641900301481,0.9801473462136224,0.0048829727391878
2020-01-06,es1s,1,3.0,0.9986095169623858,1.0918809783518834e-06,0.0011133284225396,0.0002760627348239,0.9986095169623858
2020-01-06,fesx1s,1,3.0,0.9995377346650622,0.0001121856349017,1.1016005299476467e-07,0.00034996954019,0.9995377346650622
2020-01-06,gc1s,0,1.0,0.8118811228376112,0.0001964775010203,0.8118811228376112,0.0022970643515605,0.185625335310471
2020-01-06,hg1s,1,0.0,0.9954904901585008,0.9954904901585008,1.3699532004125397e-05,0.0044516652476188,4.41450610445592e-05
2020-01-06,ho1s,0,0.0,0.978982846789861,0.978982846789861,0.0186188056270962,0.0021132228400717,0.0002851247404227
2020-01-06,ng1s,0,1.0,0.70736185001781,0.0002169231777729,0.70736185001781,0.2898255171165031,0.0025957096874313
