date,instrument,primary_signal,hmm_market_state,hmm_prob_stress,hmm_prob_upside_breakout,hmm_prob_calm_positive,hmm_prob_calm_negative,hmm_prob_chop,hmm_prob_not_stress
2020-01-03,cl1s,0,upside_breakout,0.0003251000612227,0.99114039231009,0.0077398733733948,0.0007946342558102,0.0,0.9996748999387773
2020-01-03,es1s,1,calm_positive,0.108616103592621,0.0,0.8913838964070835,0.0,0.0,0.891383896407379
2020-01-03,fesx1s,-1,calm_positive,4.783127729669172e-06,0.0231755623568639,0.974204053857032,0.0026156006582335,0.0,0.9999952168722703
2020-01-03,gc1s,0,calm_negative,0.0016033937687509,0.0030237741097652,1.6780761877448638e-06,0.9953711540422148,0.0,0.9983966062312492
2020-01-03,hg1s,1,calm_negative,0.0003575924492903,0.0005568158240104,0.1700176808890917,0.8290679108404712,0.0,0.9996424075507097
2020-01-03,ho1s,0,upside_breakout,0.0080934321141525,0.9220313627799158,0.0301186997951616,0.0397565053107939,0.0,0.9919065678858475
2020-01-03,ng1s,0,stress,0.88533599049604,0.000251123921126,0.11161118451172,0.0028017010725098,0.0,0.11466400950396005
2020-01-03,nq1s,1,calm_positive,0.018145893411028426,0.0,0.981854106590541,0.0,0.0,0.9818541065889715
2020-01-03,pl1s,-1,calm_negative,0.0010194992447869,0.0009403828792485,0.2078560308192525,0.7901840870588087,0.0,0.998980500755213
2020-01-03,rb1s,1,calm_positive,0.1683164305146502,0.0029969996178438,0.828684752620492,1.8172443966071395e-06,0.0,0.8316835694853498
2020-01-03,si1s,1,calm_positive,0.000260304980358,0.0178658031837003,0.9815317906593222,0.0003421011787439,0.0,0.999739695019642
2020-01-06,cl1s,0,calm_negative,0.0123277807484461,0.0048829727391878,0.002641900301481,0.9801473462136224,0.0,0.9876722192515539
2020-01-06,es1s,1,calm_positive,0.0011144203035179517,0.0,0.9988855796972097,0.0,0.0,0.9988855796964821
2020-01-06,fesx1s,1,calm_positive,1.1016005299476467e-07,0.00034996954019,0.9995377346650622,0.0001121856349017,0.0,0.999999889839947
2020-01-06,gc1s,0,calm_negative,0.0001964775010203,0.185625335310471,0.0022970643515605,0.8118811228376112,0.0,0.9998035224989797
2020-01-06,hg1s,1,calm_positive,1.3699532004125397e-05,4.41450610445592e-05,0.9954904901585008,0.0044516652476188,0.0,0.9999863004679959
2020-01-06,ho1s,0,stress,0.978982846789861,0.0002851247404227,0.0021132228400717,0.0186188056270962,0.0,0.021017153210138972
2020-01-06,ng1s,0,stress,0.70736185001781,0.0002169231777729,0.2898255171165031,0.0025957096874313,0.0,0.29263814998218995
2020-01-06,nq1s,-1,calm_positive,0.0009822307762492389,0.0,0.9990177692232051,0.0,0.0,0.9990177692237507
2020-01-06,pl1s,1,upside_breakout,5.058639387904075e-09,0.9999999940409908,2.0958835838268152e-26,9.021458959805147e-10,0.0,0.9999999949413606
2020-01-06,rb1s,1,calm_negative,0.006493450984036,0.0006864881903844,0.092009829057269,0.9008102317687124,0.0,0.993506549015964
2020-01-06,si1s,1,calm_positive,0.0008746372308212,0.0121147234024134,0.9864060641035892,0.0006045752647002,0.0,0.9991253627691788
2020-01-07,cl1s,-1,calm_negative,0.0003717188090968,5.173874378784607e-05,0.0003527564263077,0.9992237860240998,0.0,0.9996282811909032
2020-01-07,es1s,1,calm_positive,5.317097564152276e-05,0.0,0.9999468290245616,0.0,0.0,0.9999468290243585
2020-01-07,fesx1s,1,calm_positive,2.9427442899973322e-08,6.893767332264685e-05,0.999887847937673,4.3184960322440755e-05,0.0,0.9999999705725571
2020-01-07,gc1s,0,calm_positive,4.764906426976703e-05,0.0891800958031687,0.6958607075139894,0.2149115476155341,0.0,0.9999523509357302
2020-01-07,hg1s,1,calm_positive,1.9002887799117684e-06,1.3211175630282949e-05,0.9987566630128552,0.0012282255258129,0.0,0.9999980997112201
2020-01-07,ho1s,0,calm_negative,0.0014675126855368,0.0004005349341367,0.000156980112034,0.9979749722663666,0.0,0.9985324873144632
2020-01-07,ng1s,0,calm_positive,0.3710121400684484,0.0001387834398254,0.6266285483629933,0.0022205281299202,0.0,0.6289878599315516
2020-01-07,nq1s,-1,calm_positive,6.840932557989813e-05,0.0,0.9999315906732764,0.0,0.0,0.9999315906744201
2020-01-07,pl1s,1,calm_negative,0.0055640466574721,0.0489288736585787,0.3681851928389874,0.5773218868438066,0.0,0.9944359533425279
2020-01-07,rb1s,-1,calm_negative,0.0024962633883659,0.0002143511501661,7.431018863260734e-08,0.9972893111528351,0.0,0.997503736611634
2020-01-07,si1s,1,upside_breakout,0.0015382057876995,0.9487663238773628,0.0493416698677942,0.0003538004653155,0.0,0.9984617942123005
2020-01-08,cl1s,0,stress,0.9999999944702722,2.918639584724005e-09,2.6082631435096953e-09,2.163336291425574e-31,0.0,5.529727786779404e-09
2020-01-08,es1s,1,calm_positive,0.362626422478235,0.0,0.6373735775200611,0.0,0.0,0.637373577521765
2020-01-08,fesx1s,1,calm_positive,0.0006834105097307,0.3859106927025427,0.4194113771368005,0.1939945196498543,0.0,0.9993165894902692
2020-01-08,gc1s,0,stress,0.9154577760774132,0.0163525479769931,2.719297173760383e-22,0.0681896759491213,0.0,0.08454222392258681
2020-01-08,hg1s,1,calm_positive,7.394165659912096e-06,4.679417984534027e-05,0.9846966484347688,0.0152491632228853,0.0,0.9999926058343401
2020-01-08,ho1s,0,stress,0.9999913717992306,5.325238102348573e-08,8.574947931133839e-06,2.8713535437260877e-25,0.0,8.62820076941162e-06
2020-01-08,ng1s,0,calm_positive,0.0277832434954788,3.2325836899988695e-05,0.9715888441068258,0.0005955865588855,0.0,0.9722167565045212
2020-01-08,nq1s,1,stress,0.7814449103794926,0.0,0.2185550896219873,0.0,0.0,0.2185550896205074
