date,instrument,primary_signal,hmm_return_regime,hmm_prob_downside,hmm_prob_weak,hmm_prob_positive,hmm_prob_strong_upside,hmm_prob_downside_or_weak,hmm_prob_positive_or_strong_upside
2020-01-03,cl1s,0,strong_upside,0.0003251000612227,0.0007946342558102,0.0077398733733948,0.99114039231009,0.0011197343170329,0.9988802656834848
2020-01-03,es1s,1,strong_upside,0.0001791086592335,0.1084369949333875,0.041250384968897,0.8501335114381865,0.108616103592621,0.8913838964070835
2020-01-03,fesx1s,-1,positive,4.783127729669172e-06,0.0026156006582335,0.974204053857032,0.0231755623568639,0.002620383785963169,0.9973796162138959
2020-01-03,gc1s,0,weak,0.0016033937687509,0.9953711540422148,1.6780761877448638e-06,0.0030237741097652,0.9969745478109656,0.0030254521859529445
2020-01-03,hg1s,1,weak,0.0003575924492903,0.8290679108404712,0.1700176808890917,0.0005568158240104,0.8294255032897615,0.1705744967131021
2020-01-03,ho1s,0,strong_upside,0.0080934321141525,0.0397565053107939,0.0301186997951616,0.9220313627799158,0.0478499374249464,0.9521500625750774
2020-01-03,ng1s,0,downside,0.88533599049604,0.0028017010725098,0.11161118451172,0.000251123921126,0.8881376915685497,0.111862308432846
2020-01-03,nq1s,1,strong_upside,1.9065791155269956e-06,0.0181439868319129,0.006248262093828,0.975605844496713,0.018145893411028426,0.981854106590541
2020-01-03,pl1s,-1,weak,0.0010194992447869,0.7901840870588087,0.0009403828792485,0.2078560308192525,0.7912035863035957,0.208796413698501
2020-01-03,rb1s,1,strong_upside,1.8172443966071395e-06,0.1683164305146502,0.0029969996178438,0.828684752620492,0.1683182477590468,0.8316817522383358
2020-01-03,si1s,1,positive,0.000260304980358,0.0003421011787439,0.9815317906593222,0.0178658031837003,0.0006024061591019,0.9993975938430225
2020-01-06,cl1s,0,weak,0.0123277807484461,0.9801473462136224,0.002641900301481,0.0048829727391878,0.9924751269620685,0.0075248730406687996
2020-01-06,es1s,1,strong_upside,1.0918809783518834e-06,0.0011133284225396,0.0002760627348239,0.9986095169623858,0.0011144203035179517,0.9988855796972097
2020-01-06,fesx1s,1,positive,1.1016005299476467e-07,0.0001121856349017,0.9995377346650622,0.00034996954019,0.00011229579495469477,0.9998877042052522
2020-01-06,gc1s,0,weak,0.0001964775010203,0.8118811228376112,0.0022970643515605,0.185625335310471,0.8120776003386314,0.1879223996620315
2020-01-06,hg1s,1,positive,1.3699532004125397e-05,0.0044516652476188,0.9954904901585008,4.41450610445592e-05,0.0044653647796229256,0.9955346352195453
2020-01-06,ho1s,0,downside,0.978982846789861,0.0186188056270962,0.0021132228400717,0.0002851247404227,0.9976016524169572,0.0023983475804944
2020-01-06,ng1s,0,downside,0.70736185001781,0.0025957096874313,0.2898255171165031,0.0002169231777729,0.7099575597052413,0.290042440294276
2020-01-06,nq1s,-1,strong_upside,9.57867222388745e-08,0.000982134989527,0.0002622047705047,0.9987555644527004,0.0009822307762492389,0.9990177692232051
2020-01-06,pl1s,1,positive,5.058639387904075e-09,9.021458959805147e-10,0.9999999940409908,2.0958835838268152e-26,5.96078528388459e-09,0.9999999940409908
2020-01-06,rb1s,1,downside,0.9008102317687124,0.006493450984036,0.0006864881903844,0.092009829057269,0.9073036827527484,0.0926963172476534
2020-01-06,si1s,1,positive,0.0008746372308212,0.0006045752647002,0.9864060641035892,0.0121147234024134,0.0014792124955214,0.9985207875060026
2020-01-07,cl1s,-1,weak,0.0003717188090968,0.9992237860240998,0.0003527564263077,5.173874378784607e-05,0.9995955048331966,0.00040449517009554604
2020-01-07,es1s,1,strong_upside,7.616715092202311e-08,5.309480849060074e-05,4.22721441162953e-05,0.9999045568804452,5.317097564152276e-05,0.9999468290245616
2020-01-07,fesx1s,1,positive,2.9427442899973322e-08,4.3184960322440755e-05,0.999887847937673,6.893767332264685e-05,4.321438776534073e-05,0.9999567856109957
2020-01-07,gc1s,0,positive,4.764906426976703e-05,0.2149115476155341,0.6958607075139894,0.0891800958031687,0.21495919667980387,0.7850408033171581
2020-01-07,hg1s,1,positive,1.9002887799117684e-06,0.0012282255258129,0.9987566630128552,1.3211175630282949e-05,0.001230125814592812,0.9987698741884854
2020-01-07,ho1s,0,weak,0.0014675126855368,0.9979749722663666,0.000156980112034,0.0004005349341367,0.9994424849519034,0.0005575150461707
2020-01-07,ng1s,0,positive,0.3710121400684484,0.0022205281299202,0.6266285483629933,0.0001387834398254,0.3732326681983686,0.6267673318028187
2020-01-07,nq1s,-1,strong_upside,9.160859557043675e-09,6.840016472034108e-05,5.506965223521693e-05,0.9998765210210412,6.840932557989813e-05,0.9999315906732764
2020-01-07,pl1s,1,weak,0.0055640466574721,0.5773218868438066,0.0489288736585787,0.3681851928389874,0.5828859335012787,0.4171140664975661
