strategy,rows,nonzero_weights,mean_abs_weight,max_abs_weight,mean_daily_gross,max_daily_gross,mean_daily_net,mean_active_count,mean_daily_pnl,annualized_vol,annualized_sharpe,cumulative_pnl
fixed,246,141,0.09232162841020505,0.25,0.19922035604307411,0.4897439264318486,0.13874354850188253,1.236842105263158,0.0007680866099567392,0.038312182029654404,5.052122209047781,0.08756187353506827
neural,246,141,0.0554409999411459,0.25,0.11963584197826223,0.39498583068535253,0.0631141774375951,1.236842105263158,0.000599829470523725,0.02943892156170153,5.134597959207377,0.06838055963970464
