instrument,rows,fixed_mean_abs_weight,neural_mean_abs_weight,fixed_max_abs_weight,neural_max_abs_weight,mean_weight_diff,mean_abs_weight_diff,same_sign_rate,weight_correlation
cl1s,78,0.16982285388159618,0.09433010858042874,0.25,0.2189312424577734,-0.08400438001660555,0.09260711257736048,1.0,0.690247162372126
ho1s,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
ng1s,52,0.03153796310814511,0.020861916714427647,0.1331406536358744,0.1415370238348068,0.010676046393717468,0.012659848917761566,1.0,0.808449096615065
rb1s,114,0.06864003425019644,0.04557822672893171,0.25,0.25,-0.023022465548305643,0.03120145235622905,1.0,0.800935144365889
