date,instrument,primary_signal,hmm_predicted_regime,hmm_volatility_regime,hmm_return_regime,hmm_market_state,hmm_regime_confidence,daily_return,realized_vol_20d
2020-01-03,cl1s,0,3.0,high_vol,strong_upside,upside_breakout,0.99114039231009,0.030565544353464924,0.009691600865896512
2020-01-03,es1s,1,3.0,low_vol,strong_upside,calm_positive,0.8501335114381865,-0.0072108008584650385,0.00443285522895146
2020-01-03,fesx1s,-1,3.0,low_vol,positive,calm_positive,0.974204053857032,-0.00740349021818143,0.00883866900176216
2020-01-03,gc1s,0,1.0,normal_vol,weak,calm_negative,0.9953711540422148,0.015902100647612105,0.005567929784726772
2020-01-03,hg1s,1,2.0,normal_vol,weak,calm_negative,0.8290679108404712,-0.013451328434855858,0.00888079189500976
2020-01-03,ho1s,0,3.0,high_vol,strong_upside,upside_breakout,0.9220313627799158,0.018427945785896238,0.00965142200316599
2020-01-03,ng1s,0,1.0,high_vol,downside,stress,0.88533599049604,0.0037680802698829563,0.02503022368868647
2020-01-03,nq1s,1,3.0,low_vol,strong_upside,calm_positive,0.975605844496713,-0.009193915707489952,0.006003151005154495
2020-01-03,pl1s,-1,1.0,low_vol,weak,calm_negative,0.7901840870588087,0.005380710654824039,0.012585581809961988
2020-01-03,rb1s,1,3.0,normal_vol,strong_upside,calm_positive,0.828684752620492,0.02617063671601194,0.012129460574066027
2020-01-03,si1s,1,1.0,low_vol,positive,calm_positive,0.9815317906593222,0.005818464042105065,0.009291315928656453
2020-01-06,cl1s,0,2.0,low_vol,weak,calm_negative,0.9801473462136224,0.003489294102263285,0.009648409502562091
2020-01-06,es1s,1,3.0,low_vol,strong_upside,calm_positive,0.9986095169623858,0.0024725699268979273,0.004434318372417688
2020-01-06,fesx1s,1,3.0,low_vol,positive,calm_positive,0.9995377346650622,-0.00399573787795604,0.007423640288055539
2020-01-06,gc1s,0,1.0,normal_vol,weak,calm_negative,0.8118811228376112,0.010564287556049878,0.0058571366718351055
